iter	Passed	Remaining
0	2	2153
1	4	2030
2	6	2009
3	7	1919
4	9	1848
5	11	1840
6	12	1820
7	14	1805
8	16	1800
9	18	1795
10	19	1779
11	21	1766
12	23	1758
13	24	1755
14	26	1742
15	28	1736
16	30	1745
17	31	1734
18	33	1725
19	35	1718
20	36	1707
21	38	1699
22	40	1700
23	41	1693
24	43	1695
25	45	1694
26	46	1688
27	48	1683
28	50	1677
29	51	1675
30	53	1682
31	55	1677
32	57	1683
33	59	1679
34	60	1674
35	62	1670
36	63	1665
37	65	1666
38	67	1661
39	69	1658
40	70	1657
41	72	1659
42	74	1656
43	76	1657
44	78	1658
45	79	1654
46	81	1651
47	83	1651
48	85	1652
49	86	1648
50	88	1643
51	90	1641
52	91	1637
53	93	1635
54	95	1633
55	96	1631
56	98	1629
57	100	1627
58	101	1624
59	103	1621
60	105	1620
61	106	1617
62	109	1622
63	110	1622
64	112	1620
65	114	1620
66	116	1620
67	117	1617
68	119	1615
69	121	1615
70	123	1613
71	124	1609
72	126	1609
73	128	1607
74	130	1611
75	132	1610
76	134	1606
77	135	1603
78	137	1601
79	139	1600
80	141	1601
81	142	1598
82	144	1595
83	146	1592
84	147	1589
85	149	1585
86	150	1584
87	152	1580
88	154	1578
89	155	1575
90	157	1571
91	158	1568
92	160	1567
93	162	1567
94	164	1563
95	165	1560
96	167	1556
97	168	1553
98	170	1550
99	171	1547
100	173	1544
101	175	1540
102	176	1536
103	178	1533
104	179	1531
105	181	1528
106	182	1524
107	184	1521
108	185	1517
109	187	1514
110	188	1511
111	190	1510
112	191	1506
113	193	1502
114	195	1501
115	196	1500
116	198	1498
117	200	1494
118	201	1491
119	202	1488
120	204	1486
121	206	1486
122	208	1485
123	209	1482
124	211	1481
125	213	1483
126	215	1481
127	217	1480
128	218	1477
129	220	1474
130	222	1475
131	224	1475
132	226	1474
133	227	1472
134	229	1472
135	231	1470
136	232	1467
137	234	1464
138	236	1462
139	237	1461
140	239	1460
141	241	1459
142	243	1457
143	244	1454
144	246	1452
145	247	1450
146	249	1448
147	251	1446
148	252	1444
149	254	1441
150	256	1439
151	257	1438
152	259	1436
153	261	1435
154	262	1432
155	264	1430
156	265	1428
157	267	1425
158	269	1425
159	271	1424
160	273	1423
161	274	1420
162	276	1419
163	278	1421
164	280	1418
165	282	1419
166	284	1417
167	285	1414
168	287	1412
169	288	1410
170	290	1409
171	292	1406
172	293	1403
173	295	1401
174	296	1398
175	298	1396
176	299	1393
177	301	1391
178	302	1388
179	304	1386
180	306	1385
181	307	1383
182	309	1381
183	311	1379
184	312	1377
185	314	1376
186	316	1374
187	317	1372
188	319	1371
189	321	1370
190	322	1367
191	324	1365
192	326	1364
193	327	1362
194	329	1361
195	331	1359
196	332	1356
197	334	1354
198	335	1351
199	337	1349
200	339	1347
201	340	1346
202	342	1344
203	344	1342
204	345	1341
205	347	1339
206	349	1339
207	351	1337
208	353	1336
209	354	1334
210	356	1331
211	357	1329
212	359	1327
213	360	1325
214	362	1322
215	363	1320
216	365	1317
217	366	1316
218	368	1314
219	370	1313
220	371	1310
221	373	1309
222	375	1307
223	377	1307
224	378	1305
225	380	1303
226	382	1301
227	383	1299
228	385	1297
229	386	1295
230	388	1293
231	390	1292
232	391	1290
233	393	1288
234	395	1286
235	396	1284
236	398	1281
237	399	1279
238	401	1277
239	403	1276
240	405	1275
241	406	1273
242	408	1271
243	409	1269
244	411	1268
245	413	1266
246	414	1264
247	416	1262
248	418	1260
249	419	1259
250	421	1256
251	422	1255
252	424	1253
253	426	1252
254	427	1250
255	429	1247
256	430	1245
257	432	1243
258	433	1241
259	435	1239
260	437	1237
261	439	1236
262	441	1236
263	442	1234
264	445	1234
265	446	1231
266	447	1229
267	449	1228
268	451	1226
269	453	1225
270	454	1223
271	456	1221
272	457	1219
273	459	1217
274	460	1215
275	462	1212
276	463	1210
277	465	1208
278	466	1206
279	468	1204
280	470	1203
281	471	1201
282	473	1199
283	475	1198
284	476	1196
285	478	1194
286	480	1192
287	481	1191
288	483	1189
289	485	1187
290	486	1185
291	488	1183
292	489	1181
293	491	1179
294	492	1177
295	494	1175
296	495	1172
297	496	1170
298	498	1168
299	499	1166
300	501	1164
301	502	1162
